difficulty,pred_v1,pred_v2,abs_err_v1,abs_err_v2,delta_abs_err_v2_minus_v1
14.0,13.98,14.053296008999665,0.019999999999999574,0.05329600899966458,0.033296008999665005
14.0,14.06,14.02934154130378,0.0600000000000005,0.029341541303779195,-0.030658458696221302
14.0,13.73,13.857798518066028,0.2699999999999996,0.14220148193397186,-0.1277985180660277
14.0,14.12,14.242471712783844,0.11999999999999922,0.2424717127838445,0.12247171278384528
14.0,13.72,13.722794526395843,0.27999999999999936,0.27720547360415715,-0.0027945263958422117
14.0,14.05,13.973401352207993,0.05000000000000071,0.026598647792006602,-0.02340135220799411
14.0,13.98,13.916312917487527,0.019999999999999574,0.0836870825124727,0.06368708251247313
14.0,14.01,13.99492624936038,0.009999999999999787,0.0050737506396192344,-0.004926249360380552
14.0,14.14,14.168994109818593,0.14000000000000057,0.16899410981859297,0.028994109818592406
14.0,14.11,14.166026983712982,0.10999999999999943,0.16602698371298175,0.056026983712982315
14.0,13.95,13.863081489141527,0.05000000000000071,0.1369185108584734,0.08691851085847269
15.0,14.7,14.414837042916343,0.3000000000000007,0.5851629570836572,0.28516295708365647
15.0,14.93,14.951086877683046,0.07000000000000028,0.04891312231695366,-0.021086877683046623
15.0,14.95,14.79540868019072,0.05000000000000071,0.20459131980928014,0.15459131980927943
15.0,15.26,15.441186904288084,0.2599999999999998,0.4411869042880845,0.1811869042880847
15.0,14.83,14.795757182443491,0.16999999999999993,0.20424281755650853,0.0342428175565086
15.0,14.84,14.436360834731012,0.16000000000000014,0.563639165268988,0.4036391652689879
15.0,15.0,14.96290931165187,0.0,0.037090688348129675,0.037090688348129675
15.0,15.01,15.029501947720325,0.009999999999999787,0.029501947720325106,0.01950194772032532
15.0,14.94,14.795349615285346,0.0600000000000005,0.2046503847146539,0.1446503847146534
15.0,15.12,15.158597723163926,0.11999999999999922,0.1585977231639255,0.03859772316392629
15.0,14.84,14.813771014869642,0.16000000000000014,0.18622898513035757,0.02622898513035743
15.0,14.77,14.904251182944995,0.23000000000000043,0.09574881705500538,-0.13425118294499505
15.0,15.0,14.833391085609996,0.0,0.1666089143900038,0.1666089143900038
15.0,14.83,14.67782900834767,0.16999999999999993,0.3221709916523299,0.15217099165232995
15.0,15.11,15.057269731462647,0.10999999999999943,0.05726973146264669,-0.05273026853735274
15.0,15.03,15.13883773477922,0.02999999999999936,0.13883773477921935,0.10883773477921999
15.0,15.09,14.90915952021908,0.08999999999999986,0.0908404797809208,0.0008404797809209441
15.0,15.03,15.0278430662883,0.02999999999999936,0.027843066288300022,-0.002156933711699338
15.0,14.92,14.609120682738059,0.08000000000000007,0.39087931726194114,0.31087931726194107
15.0,15.01,15.02544123452569,0.009999999999999787,0.02544123452569025,0.015441234525690462
15.0,14.91,14.942397555684309,0.08999999999999986,0.05760244431569106,-0.0323975556843088
16.0,15.92,15.725601547295364,0.08000000000000007,0.27439845270463614,0.19439845270463607
16.0,16.03,16.2253299396117,0.030000000000001137,0.22532993961170078,0.19532993961169964
16.0,15.67,15.544129298508965,0.33000000000000007,0.45587070149103504,0.12587070149103496
16.0,15.97,15.85358834528836,0.02999999999999936,0.14641165471164008,0.11641165471164072
16.0,16.07,15.946018500195116,0.07000000000000028,0.05398149980488398,-0.016018500195116303
16.0,16.0,16.026201104233834,0.0,0.02620110423383437,0.02620110423383437
15.0,14.98,15.034290627559656,0.019999999999999574,0.03429062755965617,0.014290627559656599
16.0,15.9,15.638774406724623,0.09999999999999964,0.3612255932753765,0.26122559327537687
16.0,15.97,15.920755209500799,0.02999999999999936,0.0792447904992013,0.04924479049920194
16.0,16.02,15.923984413721984,0.019999999999999574,0.0760155862780163,0.05601558627801673
16.0,15.97,16.027374084313628,0.02999999999999936,0.02737408431362809,-0.002625915686371272
16.0,15.97,15.939040598158632,0.02999999999999936,0.06095940184136772,0.03095940184136836
16.0,15.98,15.914093967414345,0.019999999999999574,0.08590603258565466,0.06590603258565508
16.0,15.67,15.53469072669919,0.33000000000000007,0.46530927330081084,0.13530927330081077
16.0,16.13,16.20331884207501,0.129999999999999,0.20331884207501005,0.07331884207501105
16.0,16.04,16.07954218511975,0.03999999999999915,0.07954218511974886,0.03954218511974972
16.0,15.91,15.665039918759987,0.08999999999999986,0.33496008124001264,0.24496008124001278
16.0,15.74,15.456017147345628,0.2599999999999998,0.5439828526543717,0.28398285265437195
16.0,16.09,16.120515651488915,0.08999999999999986,0.12051565148891541,0.03051565148891555
16.0,15.98,15.674631065896588,0.019999999999999574,0.3253689341034125,0.3053689341034129
16.0,16.0,16.0302319218243,0.0,0.030231921824299235,0.030231921824299235
17.0,16.79,16.83626053534546,0.21000000000000085,0.16373946465454026,-0.046260535345460596
17.0,17.03,17.04582755333778,0.030000000000001137,0.0458275533377801,0.015827553337778966
17.0,17.6,17.83107367069656,0.6000000000000014,0.8310736706965614,0.23107367069655993
17.0,17.08,17.191107478754777,0.0799999999999983,0.19110747875477685,0.11110747875477855
17.0,16.55,16.56155710635724,0.4499999999999993,0.43844289364275824,-0.011557106357241054
17.0,16.99,17.11659719081406,0.010000000000001563,0.1165971908140584,0.10659719081405683
17.0,17.15,16.975955989177272,0.14999999999999858,0.024044010822727557,-0.12595598917727102
16.0,15.89,16.00598893748095,0.10999999999999943,0.005988937480950085,-0.10401106251904935
17.0,17.0,16.883428233333383,0.0,0.11657176666661684,0.11657176666661684
17.0,16.98,17.149939560039375,0.019999999999999574,0.1499395600393747,0.12993956003937512
17.0,17.03,16.93467801127774,0.030000000000001137,0.06532198872226047,0.035321988722259334
17.0,16.99,17.050960611230998,0.010000000000001563,0.050960611230998154,0.04096061123099659
17.0,16.93,16.87769185917875,0.07000000000000028,0.12230814082125008,0.05230814082124979
17.0,17.24,17.521342760921616,0.23999999999999844,0.5213427609216161,0.2813427609216177
17.0,16.92,16.977825932094706,0.0799999999999983,0.022174067905293526,-0.05782593209470477
21.0,21.06,21.04595399985935,0.05999999999999872,0.04595399985934989,-0.014046000140648829
17.0,17.0,16.924330564898916,0.0,0.07566943510108359,0.07566943510108359
17.0,17.04,17.01939745343882,0.03999999999999915,0.019397453438820378,-0.02060254656117877
17.0,17.39,17.608958840390578,0.39000000000000057,0.6089588403905779,0.21895884039057734
17.0,17.33,17.175755871749082,0.3299999999999983,0.17575587174908236,-0.15424412825091594
17.0,16.98,16.88513243523799,0.019999999999999574,0.11486756476201165,0.09486756476201208
17.0,17.01,17.102449231972155,0.010000000000001563,0.10244923197215527,0.09244923197215371
17.0,16.91,16.91168411109014,0.08999999999999986,0.08831588890986097,-0.0016841110901388845
17.0,17.02,16.987307934195027,0.019999999999999574,0.012692065804973396,-0.007307934195026178
17.0,16.92,17.019376234118848,0.0799999999999983,0.019376234118848146,-0.06062376588115015
16.0,16.27,16.437721486899672,0.2699999999999996,0.4377214868996724,0.1677214868996728
17.0,16.74,16.367881032274237,0.26000000000000156,0.6321189677257628,0.37211896772576125
17.0,17.04,17.025037023307686,0.03999999999999915,0.025037023307685757,-0.01496297669231339
17.0,16.97,16.895092135200414,0.030000000000001137,0.10490786479958558,0.07490786479958444
17.0,16.97,16.91632695628731,0.030000000000001137,0.08367304371268958,0.05367304371268844
17.0,16.7,16.80460159214652,0.3000000000000007,0.19539840785348161,-0.1046015921465191
17.0,16.98,17.037929624071364,0.019999999999999574,0.03792962407136358,0.017929624071364003
17.0,17.17,17.345535893797337,0.1700000000000017,0.3455358937973365,0.1755358937973348
17.0,16.94,16.777185708354114,0.05999999999999872,0.22281429164588573,0.162814291645887
18.0,18.12,18.314198479949464,0.120000000000001,0.31419847994946437,0.19419847994946338
18.0,18.0,18.123233359306642,0.0,0.12323335930664214,0.12323335930664214
18.0,17.94,17.94236159230955,0.05999999999999872,0.05763840769045103,-0.0023615923095476887
18.0,18.11,18.226782504538473,0.10999999999999943,0.22678250453847326,0.11678250453847383
18.0,17.9,17.603222153118494,0.10000000000000142,0.3967778468815055,0.2967778468815041
18.0,17.76,17.814496242936404,0.23999999999999844,0.18550375706359645,-0.054496242936401984
18.0,17.98,18.067053618173535,0.019999999999999574,0.06705361817353506,0.04705361817353548
18.0,17.98,17.898682303106206,0.019999999999999574,0.1013176968937941,0.08131769689379453
18.0,18.01,17.93196508203623,0.010000000000001563,0.06803491796377159,0.05803491796377003
18.0,17.97,17.873168032459343,0.030000000000001137,0.12683196754065662,0.09683196754065548
18.0,17.88,17.96273339684833,0.120000000000001,0.03726660315167152,-0.08273339684832948
18.0,18.13,18.241697989026207,0.129999999999999,0.24169798902620698,0.11169798902620798
18.0,18.24,18.43308569838709,0.23999999999999844,0.43308569838708877,0.19308569838709033
18.0,17.69,17.427292226934192,0.3099999999999987,0.5727077730658081,0.2627077730658094
19.0,18.96,18.942309556996637,0.03999999999999915,0.0576904430033629,0.017690443003363754
19.0,18.93,19.09845409747228,0.07000000000000028,0.09845409747228118,0.028454097472280893
19.0,19.05,19.087793099205864,0.05000000000000071,0.08779309920586442,0.03779309920586371
19.0,19.24,19.599373999666042,0.23999999999999844,0.5993739996660423,0.3593739996660439
18.0,18.15,18.41360747676894,0.14999999999999858,0.4136074767689415,0.2636074767689429
19.0,18.97,19.123081119294774,0.030000000000001137,0.12308111929477406,0.09308111929477292
19.0,18.94,18.987259973668277,0.05999999999999872,0.012740026331723442,-0.04725997366827528
19.0,18.81,18.574833387954513,0.19000000000000128,0.4251666120454871,0.23516661204548583
